Italian,English,ascoltava sempre i consigli della nonna,he always listened to his grandmother's advice
English,Italian,I don't understand anything,Non capisco niente
Italian,English,abbiamo parlato di molti argumenti,we talked about many topics
English,Italian,enjoy your home island again,goditi di nuovo la tua isola natale
English,Italian,"basically, you just ""spend more time"" on a double consonant","in pratica, ""dedichi più tempo"" a una doppia consonante"
English,Italian,speaking live is a different difficulty level,parlare dal vivo ha un livello di difficoltà diverso
English,Italian,I'll continue practicing,Continuerò a praticare
English,Italian,I think this is,Penso che questo sia
Italian,English,mi eserciterò con questa frase:,I will practice with this sentence:
English,Italian,he says,lui dice
English,Italian,"for example, I was trying to teach her today the difference between","per esempio, stavo cercando di insegnarle oggi la differenza tra"
Italian,English,cappo,cape
Italian,English,il mio capo,my boss
Italian,English,Il fatto,The fact
Italian,English,Il fato,The fate
Italian,English,La nave,The ship
Italian,English,Il pappa,The baby food
Italian,English,cara amica,dear friend
Italian,English,La carra agricola,The agricultural cart
Italian,English,Il papa arriverà domani.,The Pope will arrive tomorrow.
Italian,English,Quella penna non scrive più.,That pen doesn't write anymore.
Italian,English,Questa pena è nuova.,This punishment is new.
Italian,English,La palla è finita nel giardino.,The ball ended up in the garden.
Italian,English,Lui pala la neve ogni mattina.,He shovels snow every morning.
English,Italian,I eat now,Io mangio adesso
English,Italian,I basically learned all grammar rules,Ho praticamente imparato tutte le regole grammaticali
English,Italian,the next time I see him,la prossima volta che lo vedo
English,Italian,I learn mostly Italian now,Ora imparo soprattutto l'italiano
Italian,English,Sarò a Roma per lavoro,I will be in Rome for work
Italian,English,Starò a Roma per una settimana,I will be in Rome for a week
Italian,English,lei si sta assicurando del numero corretto,she is making sure of the correct number
Italian,English,si assicurarono che fosse vero,they made sure it was true
Italian,English,mi sono assicurato di spegnere la luce,I made sure to turn off the light
Italian,English,fosse,is
English,Italian,tomorrow is Sunday,domani è domenica
English,Italian,towel,asciugamano
English,Italian,I will look it up,Lo cercherò
English,Italian,I don't know the word for,Non conosco la parola per
English,Italian,I want to find a group in Berlin,Voglio trovare un gruppo a Berlino
English,Italian,there are many words to remember,ci sono tante parole da ricordare
English,Italian,I forgot,ho dimenticato
English,Italian,it's a little difficult,è un po' difficile
Italian,English,la fatica,the effort
Italian,English,Col tempo ho capito il suo punto di vista,Over time I understood his point of view
Italian,English,Col tempo tutto si aggiusta,With time everything gets better
Italian,English,anche stavolta,this time too
Italian,English,Verso sera,Towards evening
Italian,English,nel centro storico,in the historic center
Italian,English,carne alla griglia,grilled meat
Italian,English,Non ci sono mai stato,I've never been there
