English,Italian,that was almost an hour,è passata quasi un'ora
English,Italian,I walked the whole way there,Ho percorso a piedi tutto il tragitto.
English,Italian,we have the whole day,abbiamo tutta la giornata
English,Italian,I have seen that before somewhere,L'ho già visto da qualche parte
English,Italian,now I want to start the order over again,ora voglio ricominciare l'ordine da capo
English,Italian,I don't know why it flickered,Non so perché abbia sfarfallato
English,Italian,the fruit was mush,la frutta era una poltiglia
English,Italian,I think the website is still open,Penso che il sito web sia ancora attivo
English,Italian,how to start with new languages,come iniziare con nuove lingue
English,Italian,I will wash my clothes,Laverò i miei vestiti
Italian,English,Sara ha l’impressione che il suo fidanzato la tradisca.,Sara feels like her boyfriend is cheating on her.
Italian,English,Pensi che questo vestito mi stia bene?,Do you think this dress looks good on me?
Italian,English,suppore,suppose
Italian,English,ritenere,to believe
Italian,English,in questa imperdibile lezione,in this unmissable lesson
Italian,English,prospettiva,prospect
Italian,English,addirittura,really
Italian,English,prima di tutto,first of all
Italian,English,ha pregato,he prayed
Italian,English,piacevole,pleasant
English,Italian,"I will continue reading it now, because the first story is interesting.","Continuerò a leggerlo, perché il primo racconto è interessante."
English,Italian,I also bought a book of Italian stories,Ho comprato anche un libro di racconti italiani
Italian,English,toccare,touch
Italian,English,le vacanze estive durano due settimane,summer holidays last two weeks
Italian,English,sedermi,sit down
Italian,English,guardo meglio la figlia,I take a better look at my daughter
Italian,English,tesoro,treasure
Italian,English,stavo per farmi un tee,I was about to make myself a tee
Italian,English,bilocale,two-room apartment
Italian,English,col tempo,over time
Italian,English,riprova in un altra sede,try again in another location
Italian,English,ad andare avanti,to move forward
Italian,English,ma con gli appoggi giusti,but with the right support
Italian,English,risparmiare,save
English,Italian,with a view of two beautiful paintings,con vista su due bellissimi dipinti
Italian,English,non è più iscritto,he is no longer registered
Italian,English,partenza,departure
Italian,English,già allora,already then
Italian,English,distaccata,detached
Italian,English,una sede distaccata,a branch office
Italian,English,laurea triennale,three-year degree
Italian,English,all'ingresso,at the entrance
Italian,English,se non ci sono arrivi,if there are no arrivals
Italian,English,forno,bakery
Italian,English,il gioco delle coppie,the game of couples
Italian,English,tavoli,tables
Italian,English,si ferma all'edicola,he stops at the newsstand
Italian,English,prima tappa,first stage
Italian,English,ci va in bici,he goes there by bike
Italian,English,mezza addormentata,half asleep
Italian,English,prova a chiedere,try to ask
Italian,English,ve lo do,I'll give it to you
Italian,English,ha perso,he lost
Italian,English,c'e chi vuole,there are those who want
Italian,English,vi siete alzati presto,you got up early
Italian,English,mestiere,craft
English,Italian,another beer please,Un'altra birra per favore
English,Italian,can I have another,posso averne un altro
Italian,English,dolce dormire,sweet sleep
Italian,English,settentrionale,Northern
English,Italian,a paperclip,una graffetta
Italian,English,le piace lavorare con i ragazzi,she likes working with kids
Italian,English,dal suo appartamento,from his apartment
Italian,English,appena fuori,just outside
Italian,English,non ci sono novità,there is no news
Italian,English,non ci sono problemi,there are no problems
Italian,English,intanto,meanwhile
English,Italian,not a bad thing,non è una cosa negativa
English,Italian,the buildings,gli edifici
English,Dutch,see you,tot snel
Dutch,English,opgeruimd,tidy
English,Dutch,it's right in the middle,Het ligt precies in het midden.
English,Italian,it's right in the middle,è proprio nel mezzo
English,Italian,these pants,questi pantaloni
Italian,English,"Avendo superato l'esame, potrai finalmente rilassarti.","Having passed the exam, you can finally relax."
Italian,English,Si vendono appartamenti di lusso,Luxury apartments for sale
Italian,English,Non credo che Lucia sia andata alla festa ieri sera.,I don't think Lucia went to the party last night.
Italian,English,"L'opinione è espressa al presente, ma si riferisce a un fatto accaduto ieri.","The opinion is expressed in the present tense, but refers to an event that happened yesterday."
English,Italian,"the key, the keys","la chiave, le chiavi"
Italian,English,Mi sono accorto solo ora di aver dimenticato le chiavi,I just realized I forgot my keys
Italian,English,accorgersi,notice
Italian,English,I problemi che erano sorti sono stati risolti.,The problems that had arisen have been resolved.
Italian,English,È l'unico film che valga veramente la pena di vedere.,It's the only movie that's really worth seeing.
Italian,English,Il congiuntivo presente non è ammesso dopo 'come se' per esprimere una condizione ipotetica presente.,The present subjunctive is not allowed after 'as if' to express a present hypothetical condition.
Italian,English,"Non prendertela, Marco è sempre stato un po' permaloso.","Don't take it personally, Marco has always been a bit touchy."
Italian,English,"Nonostante avessi letto il bando con attenzione, mi sono sfuggiti alcuni dettagli importanti","Even though I read the announcement carefully, I missed some important details."
English,Italian,my response was correct,la mia risposta era corretta
English,Italian,much will depend on what happens in the next two hours,Molto dipenderà da ciò che accadrà nelle prossime due ore.
English,Italian,"regardless of what happens, I will achieve my personal goals","Indipendentemente da ciò che accadrà, raggiungerò i miei obiettivi personali."
