Dutch,English,luidste stem,loudest voice
Dutch,English,leger,army
Dutch,English,lichaam,body
Dutch,English,beeld,image
Italian,English,Non ancora lo so,I don't know yet
English,Italian,one also says of course,si dice anche naturalmente
Italian,English,partire domani per l’Inghilterra,leaving tomorrow for England
Italian,English,Germania,Germany
Italian,English,soltanto,only
Italian,English,noi,us
Italian,English,siccome ha lavorato molto,since he worked a lot
Italian,English,intanto,meanwhile
French,English,Du coup,As a result
French,English,les détails ensemble,the details together
French,English,je navigue,I sail
French,English,à toi de jouer,it's your turn
French,English,relever ce premier défi,take up this first challenge
French,English,relever,to raise
English,French,the correct pronuncation is,la prononciation correcte est
French,English,lycée,high school
French,English,et cela complique parfois la logique,and this sometimes complicates logic
English,French,"sorry, that was the wrong pronuncation","désolé, c'était la mauvaise prononciation"
French,English,c’est nickel,it's perfect
French,English,mais du coup,but suddenly
French,English,par d’autres utilisateurs,by other users
French,English,les attributs d’un projet,the attributes of a project
Italian,English,la peggiore bugia,the worst lie
Italian,English,ha appena svelato i suoi legami con,has just revealed his ties to
English,Italian,my life,la mia vita
English,German,a two-class system,ein Zweiklassensystem
Italian,English,coinquilino,roommate
Italian,English,svelato il mistero,the mystery revealed
English,Dutch,more often then over there,vaker dan daar
Dutch,English,Eerlijk duurt het langst,Honesty lasts the longest
Dutch,English,ik probeer het ook,i try it too
Dutch,English,maar iedereen was druk,but everyone was busy
Dutch,English,Ten slotte is hij erin geslaagd,Finally he succeeded
Dutch,English,voordat de leraar het vroeg,before the teacher asked
Dutch,English,een speelse kat,a playful cat
English,Dutch,the bag was on my lap,de tas lag op mijn schoot
Dutch,English,de dokter en de dochter,the doctor and the daughter
Dutch,English,het meest interessante boek dat ik ooit heb gelezen,the most interesting book I've ever read
Dutch,English,Plotseling valt mijn pen op de grond,Suddenly my pen falls to the ground
Dutch,English,ik heb hier veel tijd doorgebracht,I spent a lot of time here
Dutch,English,Ik ga naar hem toe,I'm going to him
English,Dutch,the correct pronunciation is:,de juiste uitspraak is:
English,Dutch,"shoot, that was the wrong pronunciation","schiet op, dat was de verkeerde uitspraak"
Dutch,English,Hij leest het liefst een boek onder een boom,He prefers to read a book under a tree
Dutch,English,"Eerlijk duurt het langst, dus ik moet voorzichtig zijn","Honesty lasts the longest, so I have to be careful"
Dutch,English,maar ik gebruik hem toch,but I still use it
Dutch,English,maar ik gebruik,but i use
Dutch,English,Een dag vol verrassingen,A day full of surprises
English,Dutch,"Thursday, Friday, Saturday, Sunday","Donderdag, vrijdag, zaterdag, zondag"
English,Dutch,"monday, tuesday and wednesday","maandag, dinsdag en woensdag"
English,Dutch,Saturday,Zaterdag
English,Dutch,one hundred and thirty two,honderd tweeëndertig
English,Dutch,"sixty, seventy, eighty, ninety","zestig, zeventig, tachtig, negentig"
English,Dutch,"twenty, thirty, forty, fifty","twintig, dertig, veertig, vijftig"
Dutch,English,ongeveer 550 woorden,about 550 words
Dutch,English,iedere les duurt één uur,each lesson lasts one hour
Dutch,English,is altijd heel ontspannend,is always very relaxing
Dutch,English,het is nog ietsje verder,it's a little bit further
Dutch,English,er was een groot aantal mensen,there was a large number of people
Dutch,English,van maandag tot en met vrijdag,from Monday to Friday
Dutch,English,iets langer,a little longer
